Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,списание средств,234.11,безналичный,Минск,Белинвестбанк-EDUJ-564,01-09-2004,08:24:18,успешно,да,6.63
физ. лицо,получение средств,1963.32,наличный,Брест,Белинвестбанк-VYVO-942,20-06-2021,12:23:23,успешно,нет,0.0
физ. лицо,списание средств,3173.2,безналичный,Витебск,Приорбанк-ULAI-172,26-01-2007,14:28:30,недостаточно средств,нет,0.0
юр. лицо,получение средств,3516.84,наличный,Витебск,Беларусбанк-HPFE-205,22-10-2021,05:52:12,успешно,нет,0.0
юр. лицо,получение средств,4577.99,наличный,Витебск,МаксБанк-TBUX-881,10-07-2009,23:45:17,успешно,нет,0.0
юр. лицо,списание средств,1786.64,наличный,Брест,БелАгропромбанк-IAGV-742,08-08-2020,00:11:31,успешно,да,75.3
юр. лицо,списание средств,1647.25,безналичный,Минск,Приорбанк-HSPU-092,14-02-2006,00:22:47,успешно,нет,0.0
физ. лицо,получение средств,4243.79,безналичный,Гродно,БелАгропромбанк-DXDR-789,11-02-2023,15:37:54,успешно,нет,0.0
физ. лицо,списание средств,3042.55,безналичный,Брест,МаксБанк-FBVP-408,24-05-2007,02:54:27,недостаточно средств,нет,0.0
физ. лицо,списание средств,2661.5,безналичный,Брест,Приорбанк-FTXX-242,16-08-2013,01:10:08,недостаточно средств,нет,0.0
юр. лицо,списание средств,2535.16,безналичный,Витебск,МаксБанк-QPIY-753,15-06-2019,14:11:36,недостаточно средств,да,143.77
физ. лицо,списание средств,4324.77,безналичный,Могилев,МаксБанк-TXWJ-228,15-06-2008,13:11:11,успешно,нет,0.0
физ. лицо,списание средств,18.5,наличный,Витебск,МаксБанк-UEFY-017,15-05-2016,13:45:23,успешно,да,1.38
физ. лицо,получение средств,478.37,наличный,Могилев,Белинвестбанк-OPRE-251,15-10-2019,20:05:12,успешно,нет,0.0
юр. лицо,списание средств,3722.23,наличный,Могилев,Беларусбанк-BXFR-024,13-01-2012,04:50:20,успешно,да,113.84
физ. лицо,списание средств,3313.6,наличный,Гродно,Приорбанк-LDYX-188,26-05-2018,08:30:30,недостаточно средств,нет,0.0
юр. лицо,получение средств,4197.84,наличный,Брест,МаксБанк-PGGU-024,17-09-2003,05:55:33,успешно,нет,0.0
юр. лицо,списание средств,859.14,безналичный,Могилев,Белинвестбанк-TTFX-032,01-06-2008,19:38:02,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4049.82,безналичный,Витебск,Приорбанк-FVZW-508,12-10-2019,01:15:07,успешно,нет,0.0
юр. лицо,списание средств,4016.87,безналичный,Минск,МаксБанк-JLHR-538,14-08-2007,11:42:59,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,3345.25,безналичный,Гомель,БелАгропромбанк-AERX-937,28-01-2012,04:15:31,успешно,нет,0.0
юр. лицо,списание средств,1495.93,безналичный,Минск,МаксБанк-UGNK-755,12-06-2001,01:10:31,успешно,да,54.29
физ. лицо,получение средств,2295.05,наличный,Гомель,Белинвестбанк-HGIB-530,02-11-2023,19:24:22,успешно,нет,0.0
юр. лицо,получение средств,3666.98,наличный,Гомель,МаксБанк-EIBH-870,31-03-2004,11:01:58,успешно,нет,0.0
физ. лицо,списание средств,2171.59,безналичный,Минск,Беларусбанк-TSAE-813,04-10-2023,00:54:08,успешно,нет,0.0
физ. лицо,получение средств,2797.47,безналичный,Могилев,БелАгропромбанк-NCGV-526,27-05-2010,01:07:43,успешно,нет,0.0
юр. лицо,списание средств,4899.89,наличный,Могилев,Приорбанк-JYHL-239,13-02-2000,11:23:05,успешно,нет,0.0
юр. лицо,списание средств,1784.2,безналичный,Могилев,БелАгропромбанк-LMCP-093,28-05-2019,03:00:37,успешно,нет,0.0
юр. лицо,получение средств,2228.41,безналичный,Минск,Приорбанк-XCRO-808,08-04-2009,15:37:39,успешно,нет,0.0
юр. лицо,получение средств,1912.59,безналичный,Гродно,Беларусбанк-PFQV-625,30-03-2012,22:55:33,успешно,нет,0.0
физ. лицо,получение средств,2092.31,наличный,Гомель,Белинвестбанк-YHAV-384,06-10-2021,21:30:09,успешно,нет,0.0
физ. лицо,получение средств,1240.93,безналичный,Могилев,Приорбанк-DDDG-862,24-10-2012,12:53:26,успешно,нет,0.0
физ. лицо,списание средств,3094.01,наличный,Минск,Приорбанк-FZUS-659,19-07-2008,19:13:37,недостаточно средств,да,215.49
физ. лицо,получение средств,4784.05,наличный,Могилев,Приорбанк-GRGU-909,20-06-2005,16:16:10,успешно,нет,0.0
юр. лицо,списание средств,4937.95,наличный,Минск,Приорбанк-HVFM-880,15-01-2007,10:50:26,успешно,да,191.9
физ. лицо,списание средств,2723.11,безналичный,Могилев,Приорбанк-MOAB-452,11-02-2010,09:56:56,недостаточно средств,нет,0.0
физ. лицо,списание средств,3973.18,безналичный,Гродно,БелАгропромбанк-JIYR-702,24-05-2001,08:31:02,недостаточно средств,нет,0.0
юр. лицо,списание средств,2547.58,безналичный,Минск,Беларусбанк-FVDT-656,07-01-2001,01:13:44,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,742.26,безналичный,Брест,Беларусбанк-VQQH-893,23-12-2010,22:37:51,недостаточно средств,да,42.78
физ. лицо,получение средств,1349.34,наличный,Гомель,БелАгропромбанк-ANPN-940,25-06-2005,16:12:16,успешно,нет,0.0
физ. лицо,списание средств,1549.89,наличный,Брест,Беларусбанк-BYPA-129,09-02-2005,17:05:17,успешно,нет,0.0
физ. лицо,получение средств,4917.47,наличный,Могилев,Белинвестбанк-TFTH-476,20-09-2008,17:25:12,успешно,нет,0.0
физ. лицо,списание средств,1801.19,безналичный,Минск,Белинвестбанк-DMIQ-874,16-11-2004,21:02:45,неправильный ввод пин-кода,да,77.76
юр. лицо,списание средств,3476.39,наличный,Витебск,Белинвестбанк-WKRC-420,09-05-2019,00:07:08,успешно,да,198.75
юр. лицо,списание средств,3088.37,наличный,Могилев,МаксБанк-RARQ-455,27-01-2017,06:12:30,успешно,да,119.26
физ. лицо,списание средств,3610.5,безналичный,Витебск,Белинвестбанк-BMNG-799,27-09-2017,05:35:05,недостаточно средств,да,81.78
юр. лицо,получение средств,1369.93,наличный,Витебск,МаксБанк-PALA-973,30-01-2018,15:02:42,успешно,нет,0.0
юр. лицо,получение средств,4799.35,наличный,Витебск,Беларусбанк-PCQI-975,05-06-2019,13:43:47,успешно,нет,0.0
юр. лицо,списание средств,4587.68,безналичный,Брест,Белинвестбанк-OUXR-297,16-02-2009,23:52:30,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3062.14,безналичный,Минск,Беларусбанк-FZZQ-415,25-05-2003,00:07:55,успешно,нет,0.0
юр. лицо,получение средств,1544.46,безналичный,Могилев,МаксБанк-FYFU-917,07-08-2019,19:18:42,успешно,нет,0.0
юр. лицо,списание средств,1641.76,безналичный,Гомель,Беларусбанк-HUMA-739,18-05-2007,11:17:26,успешно,да,73.92
юр. лицо,получение средств,3292.51,наличный,Могилев,Приорбанк-VCPK-721,31-01-2012,04:49:12,успешно,нет,0.0
физ. лицо,списание средств,774.31,наличный,Брест,БелАгропромбанк-IMHK-400,11-06-2001,08:51:49,недостаточно средств,нет,0.0
физ. лицо,списание средств,3325.04,наличный,Могилев,МаксБанк-EQYZ-221,12-05-2014,01:48:43,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1563.0,безналичный,Гомель,Беларусбанк-BYGM-043,24-05-2022,09:15:30,успешно,нет,0.0
юр. лицо,списание средств,4684.78,безналичный,Гомель,Приорбанк-FQZP-558,22-03-2021,13:51:57,успешно,нет,0.0
юр. лицо,получение средств,4889.97,безналичный,Витебск,МаксБанк-ORDU-465,06-07-2018,20:13:54,успешно,нет,0.0
физ. лицо,списание средств,1266.98,наличный,Могилев,Белинвестбанк-XOVR-095,04-06-2019,22:48:39,недостаточно средств,нет,0.0
юр. лицо,списание средств,3628.81,безналичный,Могилев,Белинвестбанк-HULN-208,05-12-2022,04:25:52,неправильный ввод пин-кода,да,93.36
юр. лицо,получение средств,2836.88,безналичный,Гродно,Белинвестбанк-EJBT-965,26-02-2013,21:48:20,успешно,нет,0.0
физ. лицо,получение средств,2825.8,наличный,Гродно,Беларусбанк-NVTZ-026,12-09-2008,12:51:02,успешно,нет,0.0
физ. лицо,получение средств,3216.25,наличный,Гомель,МаксБанк-AKJZ-466,07-02-2021,16:40:36,успешно,нет,0.0
юр. лицо,получение средств,2872.92,наличный,Гомель,МаксБанк-XZFW-756,07-10-2008,14:11:41,успешно,нет,0.0
физ. лицо,получение средств,4372.81,безналичный,Минск,Беларусбанк-PICV-426,01-05-2017,23:58:28,успешно,нет,0.0
юр. лицо,получение средств,2111.19,наличный,Гомель,Приорбанк-IQHI-826,03-01-2018,04:05:47,успешно,нет,0.0
юр. лицо,получение средств,4751.64,безналичный,Витебск,МаксБанк-LQAV-680,15-03-2018,01:27:09,успешно,нет,0.0
физ. лицо,списание средств,3000.16,безналичный,Витебск,Беларусбанк-KJSI-978,17-04-2010,05:26:17,недостаточно средств,нет,0.0
юр. лицо,списание средств,3751.07,безналичный,Витебск,Приорбанк-PBWZ-669,19-10-2007,10:20:51,успешно,нет,0.0
юр. лицо,получение средств,1375.79,безналичный,Витебск,БелАгропромбанк-GPSX-162,02-04-2006,20:42:03,успешно,нет,0.0
юр. лицо,списание средств,4677.13,наличный,Гродно,БелАгропромбанк-PMPS-210,08-05-2017,01:23:32,неправильный ввод пин-кода,да,406.32
юр. лицо,списание средств,1306.0,безналичный,Брест,Приорбанк-GQXS-279,06-06-2016,13:15:38,недостаточно средств,да,54.78
юр. лицо,списание средств,2282.53,безналичный,Могилев,МаксБанк-NYGX-961,25-09-2001,09:03:47,неправильный ввод пин-кода,да,63.94
физ. лицо,получение средств,4333.37,наличный,Брест,МаксБанк-ONRC-049,24-12-2011,21:45:33,успешно,нет,0.0
юр. лицо,списание средств,4844.31,наличный,Витебск,МаксБанк-BYLJ-178,21-08-2004,13:28:21,успешно,нет,0.0
юр. лицо,списание средств,2703.57,безналичный,Брест,Беларусбанк-HRCZ-853,13-09-2023,10:52:18,успешно,да,70.99
физ. лицо,получение средств,1376.66,безналичный,Могилев,Приорбанк-AWKL-884,09-10-2022,02:40:18,успешно,нет,0.0
юр. лицо,списание средств,2697.06,наличный,Минск,Беларусбанк-OOCR-279,12-02-2000,10:05:04,недостаточно средств,да,204.33
физ. лицо,получение средств,1771.14,безналичный,Минск,Белинвестбанк-AEHR-423,19-07-2024,18:43:55,успешно,нет,0.0
физ. лицо,списание средств,2824.0,наличный,Витебск,МаксБанк-NLTF-571,17-12-2011,13:29:38,успешно,нет,0.0
физ. лицо,получение средств,4105.21,безналичный,Витебск,МаксБанк-JHBI-785,27-01-2010,08:26:27,успешно,нет,0.0
юр. лицо,получение средств,4444.88,безналичный,Могилев,БелАгропромбанк-LAHC-528,25-03-2015,14:28:38,успешно,нет,0.0
физ. лицо,списание средств,4277.09,наличный,Брест,БелАгропромбанк-BZXL-993,25-04-2003,04:10:14,успешно,нет,0.0
физ. лицо,списание средств,2334.63,безналичный,Брест,МаксБанк-YUFG-454,27-01-2000,02:16:23,успешно,нет,0.0
юр. лицо,получение средств,1993.44,наличный,Могилев,Беларусбанк-MKKB-311,11-05-2022,08:23:02,успешно,нет,0.0
физ. лицо,получение средств,610.18,безналичный,Витебск,Беларусбанк-PMDJ-149,12-04-2019,16:38:03,успешно,нет,0.0
юр. лицо,списание средств,813.4,безналичный,Гродно,МаксБанк-OMIS-292,17-08-2009,05:42:30,успешно,нет,0.0
юр. лицо,списание средств,1918.63,наличный,Брест,МаксБанк-QEJP-284,03-04-2008,08:10:51,успешно,нет,0.0
юр. лицо,списание средств,892.22,наличный,Минск,БелАгропромбанк-BCZL-476,03-09-2011,16:54:16,недостаточно средств,да,29.7
юр. лицо,получение средств,2607.91,безналичный,Гомель,МаксБанк-LLUF-359,03-02-2024,05:17:17,успешно,нет,0.0
физ. лицо,списание средств,2382.0,безналичный,Гродно,Белинвестбанк-ZKPC-574,03-08-2007,14:23:34,недостаточно средств,да,115.6
физ. лицо,получение средств,4944.65,безналичный,Могилев,Приорбанк-OSLE-618,04-12-2011,13:06:49,успешно,нет,0.0
физ. лицо,получение средств,839.1,безналичный,Брест,БелАгропромбанк-CPRZ-550,31-07-2006,05:57:40,успешно,нет,0.0
физ. лицо,списание средств,3268.99,безналичный,Минск,Беларусбанк-SKHK-877,14-11-2011,08:20:54,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,400.59,наличный,Гомель,Приорбанк-QKJV-301,28-10-2012,10:49:07,успешно,да,30.94
юр. лицо,получение средств,3001.57,наличный,Брест,БелАгропромбанк-EQGC-193,18-11-2004,18:19:45,успешно,нет,0.0
физ. лицо,списание средств,3249.61,наличный,Гродно,БелАгропромбанк-JKBA-891,01-02-2010,13:41:53,успешно,да,131.13
физ. лицо,списание средств,1446.3,безналичный,Витебск,МаксБанк-TJPW-886,09-06-2016,17:56:16,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1005.79,безналичный,Гомель,Приорбанк-FGGQ-161,23-12-2008,00:55:18,успешно,нет,0.0
физ. лицо,списание средств,476.87,безналичный,Могилев,МаксБанк-RTLA-400,22-03-2012,09:22:51,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4306.73,наличный,Гродно,МаксБанк-PEWV-572,27-07-2006,16:30:26,успешно,нет,0.0
физ. лицо,списание средств,714.47,наличный,Гродно,Приорбанк-MSQG-155,12-04-2024,07:25:13,успешно,нет,0.0
юр. лицо,списание средств,1478.74,наличный,Гродно,Белинвестбанк-WXZH-664,31-07-2004,16:54:54,неправильный ввод пин-кода,да,51.69
юр. лицо,списание средств,1151.37,наличный,Витебск,Беларусбанк-LWCF-846,27-01-2018,23:47:19,недостаточно средств,да,109.06
юр. лицо,получение средств,2927.28,наличный,Гродно,БелАгропромбанк-HRFJ-084,12-05-2014,23:43:02,успешно,нет,0.0
юр. лицо,списание средств,1988.73,наличный,Брест,БелАгропромбанк-OIVL-077,30-10-2000,13:47:17,неправильный ввод пин-кода,да,121.73
юр. лицо,списание средств,1598.75,наличный,Брест,Беларусбанк-AIXP-354,17-12-2002,02:06:29,недостаточно средств,нет,0.0
юр. лицо,получение средств,1781.53,безналичный,Могилев,Белинвестбанк-CJSI-812,03-11-2023,02:26:35,успешно,нет,0.0
юр. лицо,получение средств,47.35,наличный,Витебск,МаксБанк-VGJM-943,02-08-2000,01:50:18,успешно,нет,0.0
физ. лицо,получение средств,4635.67,наличный,Минск,Беларусбанк-LRDN-902,17-12-2020,19:21:29,успешно,нет,0.0
юр. лицо,получение средств,2053.71,безналичный,Витебск,Белинвестбанк-EACI-742,01-01-2018,04:17:47,успешно,нет,0.0
физ. лицо,получение средств,115.12,безналичный,Могилев,Белинвестбанк-DRKS-782,23-01-2023,13:40:38,успешно,нет,0.0
юр. лицо,списание средств,4714.22,наличный,Брест,МаксБанк-FEQH-001,21-02-2004,21:46:39,успешно,да,393.33
физ. лицо,списание средств,830.86,безналичный,Гомель,МаксБанк-XXUB-401,30-07-2012,23:41:27,недостаточно средств,да,14.95
физ. лицо,получение средств,4057.02,безналичный,Гродно,МаксБанк-SKNQ-905,25-07-2021,00:29:01,успешно,нет,0.0
юр. лицо,получение средств,3768.13,наличный,Минск,БелАгропромбанк-VXIE-927,17-01-2006,09:16:17,успешно,нет,0.0
юр. лицо,получение средств,2482.38,безналичный,Могилев,БелАгропромбанк-VRAF-658,05-09-2014,04:42:06,успешно,нет,0.0
физ. лицо,списание средств,3188.4,наличный,Брест,Беларусбанк-AZYA-058,12-08-2011,03:03:41,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3066.28,наличный,Витебск,Белинвестбанк-SXON-392,19-05-2015,20:30:27,успешно,нет,0.0
юр. лицо,получение средств,4257.0,наличный,Гродно,МаксБанк-SUPI-991,15-04-2003,18:57:29,успешно,нет,0.0
юр. лицо,списание средств,2591.47,наличный,Минск,Приорбанк-TGJL-257,12-01-2021,00:24:30,недостаточно средств,нет,0.0
юр. лицо,списание средств,4501.85,наличный,Гомель,БелАгропромбанк-HHVD-115,17-01-2021,22:04:17,успешно,да,405.47
юр. лицо,списание средств,3527.82,наличный,Гомель,Приорбанк-MCII-965,23-09-2018,18:02:34,успешно,нет,0.0
юр. лицо,списание средств,3975.1,наличный,Могилев,МаксБанк-JDXV-472,01-06-2007,22:54:58,недостаточно средств,нет,0.0
физ. лицо,списание средств,232.9,безналичный,Минск,Приорбанк-OZHJ-763,09-05-2009,16:47:19,успешно,нет,0.0
юр. лицо,получение средств,2555.92,безналичный,Брест,Беларусбанк-CHLE-918,22-06-2004,14:46:03,успешно,нет,0.0
физ. лицо,получение средств,1047.23,наличный,Витебск,Белинвестбанк-GPPU-238,19-08-2017,12:51:26,успешно,нет,0.0
физ. лицо,списание средств,194.29,наличный,Брест,Белинвестбанк-KMZU-637,14-04-2023,16:35:04,успешно,да,16.35
физ. лицо,получение средств,971.26,наличный,Гродно,Приорбанк-OSPR-383,08-09-2023,01:04:42,успешно,нет,0.0
физ. лицо,списание средств,2746.67,безналичный,Минск,БелАгропромбанк-LGCQ-499,20-11-2001,07:42:07,успешно,да,270.25
юр. лицо,получение средств,4310.51,безналичный,Минск,БелАгропромбанк-BRFN-561,18-09-2007,13:03:32,успешно,нет,0.0
физ. лицо,списание средств,2580.4,наличный,Могилев,Белинвестбанк-IJDZ-892,02-12-2007,05:31:11,недостаточно средств,да,242.55
юр. лицо,списание средств,1354.56,безналичный,Витебск,Приорбанк-DNKJ-240,30-01-2021,18:16:28,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,149.46,наличный,Гродно,БелАгропромбанк-ASXI-121,16-02-2004,23:19:08,недостаточно средств,да,11.29
физ. лицо,списание средств,1982.13,наличный,Гродно,МаксБанк-KMDX-712,07-01-2004,16:56:30,неправильный ввод пин-кода,да,108.1
юр. лицо,получение средств,4702.45,наличный,Минск,Белинвестбанк-JJKU-790,07-02-2020,00:26:17,успешно,нет,0.0
физ. лицо,получение средств,3708.21,наличный,Гомель,Белинвестбанк-EWAG-044,19-12-2011,04:11:19,успешно,нет,0.0
физ. лицо,списание средств,759.89,наличный,Брест,Беларусбанк-MJKT-099,13-12-2012,18:58:23,неправильный ввод пин-кода,да,24.77
физ. лицо,получение средств,4157.13,наличный,Гродно,Беларусбанк-PUSZ-156,19-12-2012,09:03:17,успешно,нет,0.0
физ. лицо,получение средств,3968.85,безналичный,Гродно,Белинвестбанк-GAMJ-423,31-08-2002,11:54:18,успешно,нет,0.0
физ. лицо,списание средств,1825.81,наличный,Минск,Приорбанк-ANZG-587,03-01-2002,18:10:11,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1990.14,безналичный,Гомель,Белинвестбанк-VRTU-984,27-01-2002,02:57:17,успешно,да,127.32
физ. лицо,получение средств,2064.62,безналичный,Минск,МаксБанк-MOUN-785,27-05-2017,05:59:52,успешно,нет,0.0
физ. лицо,получение средств,4527.52,наличный,Гродно,Приорбанк-JQIW-151,05-11-2015,21:30:50,успешно,нет,0.0
юр. лицо,получение средств,3953.76,наличный,Гомель,МаксБанк-ETAF-471,30-03-2010,02:04:18,успешно,нет,0.0
юр. лицо,списание средств,4239.16,безналичный,Минск,Белинвестбанк-LBQH-389,27-03-2000,02:09:56,неправильный ввод пин-кода,да,352.58
юр. лицо,списание средств,4972.01,наличный,Витебск,Беларусбанк-PIBP-780,04-02-2021,07:13:13,недостаточно средств,да,468.8
физ. лицо,списание средств,2488.89,безналичный,Могилев,МаксБанк-IMPJ-056,24-07-2004,01:35:49,недостаточно средств,нет,0.0
физ. лицо,получение средств,3901.33,наличный,Гомель,Приорбанк-KYCR-172,04-09-2024,05:28:31,успешно,нет,0.0
юр. лицо,получение средств,836.07,наличный,Могилев,Приорбанк-YNSV-393,24-04-2006,07:54:55,успешно,нет,0.0
физ. лицо,получение средств,2991.02,наличный,Гродно,Приорбанк-NMOK-506,02-08-2007,09:42:14,успешно,нет,0.0
физ. лицо,получение средств,2327.38,безналичный,Могилев,МаксБанк-KLOJ-979,23-05-2020,11:42:17,успешно,нет,0.0
юр. лицо,списание средств,4106.82,наличный,Витебск,Приорбанк-SQAB-835,14-09-2018,20:37:23,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1089.63,безналичный,Витебск,Приорбанк-OZAE-643,12-04-2001,02:37:16,успешно,да,30.8
юр. лицо,получение средств,1495.15,безналичный,Минск,Приорбанк-PKCC-989,30-09-2007,16:21:30,успешно,нет,0.0
физ. лицо,списание средств,894.2,безналичный,Гродно,МаксБанк-XWDQ-517,30-01-2014,03:25:43,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,861.02,наличный,Могилев,МаксБанк-OLXL-548,30-04-2019,06:21:08,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,2017.2,наличный,Брест,МаксБанк-WQVM-961,18-06-2008,07:35:46,успешно,нет,0.0
юр. лицо,списание средств,2033.26,наличный,Минск,Приорбанк-AWSB-506,11-08-2022,16:42:44,неправильный ввод пин-кода,да,40.79
физ. лицо,списание средств,4133.12,безналичный,Брест,Беларусбанк-YLVB-958,03-02-2018,01:19:33,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,128.14,безналичный,Минск,Белинвестбанк-ZAJO-436,08-04-2022,14:28:46,успешно,да,11.99
физ. лицо,получение средств,2829.36,безналичный,Могилев,БелАгропромбанк-WZCX-202,02-06-2024,17:29:52,успешно,нет,0.0
юр. лицо,списание средств,852.99,безналичный,Гомель,Белинвестбанк-LFNB-510,09-11-2001,07:14:10,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,2306.68,наличный,Брест,Приорбанк-WZKY-982,03-05-2023,14:40:26,успешно,нет,0.0
физ. лицо,получение средств,2262.08,безналичный,Могилев,МаксБанк-VTNI-152,12-08-2008,12:04:53,успешно,нет,0.0
физ. лицо,получение средств,4931.42,безналичный,Брест,БелАгропромбанк-BCYM-606,18-02-2012,04:40:06,успешно,нет,0.0
юр. лицо,списание средств,1811.57,наличный,Минск,БелАгропромбанк-BCZK-252,10-10-2000,21:51:58,успешно,нет,0.0
юр. лицо,получение средств,2720.09,наличный,Минск,БелАгропромбанк-LNKF-505,02-11-2018,17:12:18,успешно,нет,0.0
физ. лицо,получение средств,2095.6,безналичный,Витебск,БелАгропромбанк-LTBN-095,16-01-2006,02:49:38,успешно,нет,0.0
физ. лицо,списание средств,3971.77,наличный,Витебск,Беларусбанк-AKGF-536,20-07-2015,23:50:00,успешно,нет,0.0
физ. лицо,списание средств,4749.04,наличный,Витебск,Белинвестбанк-AUXJ-678,08-02-2023,08:01:45,неправильный ввод пин-кода,да,306.04
физ. лицо,списание средств,3678.01,наличный,Могилев,МаксБанк-XHSI-311,08-10-2001,04:15:18,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3572.66,безналичный,Могилев,Приорбанк-RUWP-153,12-04-2021,01:18:59,успешно,нет,0.0
физ. лицо,получение средств,1068.02,наличный,Гомель,Приорбанк-BKXJ-010,13-01-2020,20:28:12,успешно,нет,0.0
физ. лицо,списание средств,1857.03,наличный,Гродно,МаксБанк-PGPZ-885,12-09-2011,06:57:35,недостаточно средств,да,113.31
физ. лицо,получение средств,1442.21,наличный,Брест,Белинвестбанк-GDEB-753,31-12-2018,01:01:26,успешно,нет,0.0
физ. лицо,получение средств,4226.83,безналичный,Гомель,Беларусбанк-JNQZ-555,12-12-2021,01:23:29,успешно,нет,0.0
юр. лицо,получение средств,4253.34,безналичный,Гродно,БелАгропромбанк-MUXV-620,31-10-2021,09:13:27,успешно,нет,0.0
юр. лицо,списание средств,1940.69,безналичный,Гродно,Белинвестбанк-IMPA-471,27-11-2002,12:00:03,успешно,нет,0.0
юр. лицо,списание средств,2832.19,наличный,Брест,Беларусбанк-SJML-952,14-02-2008,20:40:00,неправильный ввод пин-кода,да,89.26
юр. лицо,списание средств,1060.99,наличный,Гродно,Приорбанк-XZLZ-192,30-05-2000,13:59:09,недостаточно средств,да,100.14
физ. лицо,списание средств,2476.04,безналичный,Гомель,БелАгропромбанк-WOEC-467,24-09-2021,22:59:22,недостаточно средств,нет,0.0
юр. лицо,списание средств,1628.16,безналичный,Минск,Беларусбанк-YZXB-593,25-08-2003,08:16:54,недостаточно средств,нет,0.0
физ. лицо,списание средств,4641.52,наличный,Гродно,Белинвестбанк-XZWQ-260,03-10-2002,10:02:09,недостаточно средств,да,130.96
физ. лицо,получение средств,3979.72,безналичный,Брест,БелАгропромбанк-ATDG-005,14-04-2007,16:20:18,успешно,нет,0.0
физ. лицо,списание средств,1857.2,наличный,Минск,МаксБанк-AVYI-107,19-11-2001,12:34:06,успешно,да,159.26
физ. лицо,списание средств,1579.25,наличный,Гомель,БелАгропромбанк-DDUV-209,16-11-2022,22:41:31,успешно,да,125.08
юр. лицо,списание средств,2423.69,безналичный,Гомель,МаксБанк-VXWC-138,28-07-2024,20:07:09,неправильный ввод пин-кода,да,109.43
юр. лицо,получение средств,3672.55,наличный,Могилев,Приорбанк-AETV-762,04-07-2004,05:19:37,успешно,нет,0.0
юр. лицо,получение средств,2996.35,безналичный,Гродно,БелАгропромбанк-MCTX-807,06-04-2006,12:29:47,успешно,нет,0.0
юр. лицо,получение средств,622.56,безналичный,Могилев,МаксБанк-LXRE-618,16-07-2023,17:23:53,успешно,нет,0.0
физ. лицо,списание средств,3552.85,безналичный,Брест,МаксБанк-XZZC-877,15-02-2016,16:14:33,неправильный ввод пин-кода,да,350.12
физ. лицо,получение средств,782.45,безналичный,Гомель,Беларусбанк-OJWW-794,22-03-2016,05:08:54,успешно,нет,0.0
физ. лицо,списание средств,3614.23,наличный,Брест,Беларусбанк-PSLW-574,16-07-2006,04:22:14,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4527.37,наличный,Брест,БелАгропромбанк-SPRM-402,02-06-2010,05:39:24,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,1403.81,безналичный,Могилев,Белинвестбанк-FMJN-462,06-09-2014,12:59:09,успешно,нет,0.0
физ. лицо,получение средств,757.53,безналичный,Брест,Белинвестбанк-QBNW-771,30-08-2014,07:32:35,успешно,нет,0.0
юр. лицо,списание средств,4118.96,наличный,Гродно,БелАгропромбанк-GCLH-524,09-04-2015,20:41:05,успешно,да,249.96
физ. лицо,получение средств,4554.9,безналичный,Гомель,Приорбанк-AUZH-168,26-02-2000,11:14:40,успешно,нет,0.0
физ. лицо,списание средств,3564.83,безналичный,Гомель,Беларусбанк-BAMX-181,15-04-2011,10:45:37,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4154.42,безналичный,Брест,Беларусбанк-ULTU-765,28-12-2003,02:37:04,неправильный ввод пин-кода,да,274.78
юр. лицо,списание средств,4803.65,наличный,Витебск,Приорбанк-CSNF-528,14-02-2006,17:37:04,успешно,да,174.54
физ. лицо,списание средств,4093.13,наличный,Брест,Беларусбанк-FNVH-788,16-10-2013,23:11:51,неправильный ввод пин-кода,да,57.21
физ. лицо,списание средств,4062.75,безналичный,Брест,Беларусбанк-HKJF-696,08-06-2003,01:25:16,успешно,да,190.57
физ. лицо,списание средств,3166.73,безналичный,Гродно,Белинвестбанк-CDWM-383,27-08-2002,02:33:34,успешно,нет,0.0
юр. лицо,списание средств,1934.1,наличный,Брест,Белинвестбанк-FYUR-783,10-07-2021,06:20:37,недостаточно средств,нет,0.0
физ. лицо,списание средств,124.36,безналичный,Брест,Беларусбанк-BQHW-806,25-11-2013,04:56:32,успешно,да,7.66
